n,r,m
"(:知识点 {中文: 外包,考点: true,难点: false,回顾: false,标题: Outsourcing,内容: Outsourcing is buying goods or services externally rather than making or providing them internally. · For many years, there has been a trend towards outsourcing non-core services. Examples of services that are often outsourced include: · Office cleaning; · Canteen and catering services; · Payroll services; · IT services; · Security services. · Outsourcing is not limited to providing services; parts of manufacturing processes also may be outsourced. This trend has been strengthened by the reduced costs of international trade; many components may be made in lower-cost economies, and the assembly of the final products may take place closer to the markets in which the products are sold. · The decision companies may have to make, therefore, is whether to make components in-house or to buy them from an external supplier. · Advantages of Outsourcing: · Lower cost. Many companies have discovered that some goods or services may be purchased for less than it would cost to provide them internally. This may be due to the economies of scale enjoyed by the third-party provider. · Services may become a variable cost rather than a fixed cost if outsourced. For example, the cost of outsourcing payroll services may be based on the number of personnel. If payroll services were sourced in-house, staff would have to be employed to provide this service (i.e. effectively a fixed or stepped cost). · Outsourcing allows management to focus on the core competencies of the business without being distracted by managing peripheral areas. · A specialist supplier may be able to supply goods or services of higher quality. · Access to a broader range of expertise as the provider deals with several clients. For example, a provider of IT services may have employees with a wider range of skills and knowledge than an internal IT function. · Disadvantages of Outsourcing: · The company relies on a third party to provide a reliable supply. Therefore, it loses control over a part of its business processes. · Outsourcing may mean trusting a third party with confidential information about goods or services. · Some costs may not be apparent (i.e. hidden) as anything not explicitly covered by the contract will incur additional charges. · Quality may suffer, especially if the contract price per unit is fixed (i.e. the third party can only increase its profit by reducing costs). · Operational dependence on the outsourcing company is linked to its financial stability. Switching to another provider may be very costly if the third-party company fails. · Outsourcing may demotivate the workforce if the decision to outsource is associated with job losses. (There may also be bad publicity where outsourcing is to another country.) · When deciding whether to outsource the manufacture of a particular component, organisations will obviously want to calculate the financial effect. Although financial impact will not be the only factor to be considered, it will likely be significant. · If a company outsources all production of an item, there will be no in-house production. This may lead to some fixed cost savings since less production capacity will be required. · The approach here is to determine the costs saved if in-house production ceases, including any incremental fixed costs, and compare this with the costs of buying-in the component from an external supplier.,重点: true})",[:相关],"(:知识点 {中文: 非相关成本,考点: false,难点: false,回顾: false,标题: Non-relevant costs,内容: Costs that are not belong to the relevant costs · There are a lot of costs that are traditional costs, and when you calculate traditional profit you need to deduct. However, it does not belong to the relevant costs when making decisions and does not need to be deducted. · Sunk costs– the historical cost of an asset is a past cost (money already spent) and said to be \""sunk\""; it is irrelevant to any decision. Examples of sunk costs include research and development costs already incurred and market research. · Committed costs (e.g. contract rental and lease payments) are similarly irrelevant – although future and cash flows, they are not incremental (even though they are future cash flows). However, if a contract is cancellable, such payments are not committed, and any penalty costs incurred in cancelling the contract would be relevant. · Fixed costs, incurred regardless of the decision being taken, are irrelevant (but an increment “step” in a fixed cost will be relevant). Allocations and apportionments of fixed costs (and similarly shared costs) are subjective (even arbitrary) and irrelevant to decisions. · Depreciation/amortisation and carrying values are irrelevant. Depreciation (also amortisation) is not a cash flow but a method of accounting for past capital expenditure. By the same argument, book values are not relevant as these are simply the result of historical costs and depreciation. Any realisable value of an asset (an incremental, future cash flow) would, however, be relevant. · Uncontrollable (\""non-controllable\"") costs can only be influenced indirectly by the person in charge of the budget or cost centre. Typically, these include \""management charges\"" (i.e. reallocated non-production overheads). Similarly, notional costs (e.g. recharges of head office costs or management charges), which do not increase as a result of the decision, are irrelevant.,重点: false})"
"(:知识点 {中文: 一次性合同,考点: false,难点: false,回顾: false,标题: One-off contract,内容: One-off contract refers to that when receiving a purchase order from a customer, the company needs to consider whether the order is profitable and whether the company should accept the order. · One decision-making scenario is to decide how much to tender for a one-off contract. To make the decision, it is necessary to consider all the relevant costs of the contract to ensure that the revenue from the contract covers them. The minimum price that makes a contract worthwhile is equal to the relevant cost. This section provides further guidance concerning materials, labour and non-current assets which may be required for such contracts. · From a financial point of view, a contract should proceed if the revenue from the contract exceeds its relevant cost. However, management should also consider non-financial factors before making a final decision. Some of the non-financial factors that may be considered are: · A contract may be undertaken even if the revenue is not sufficient to cover the relevant costs if there are other reasons why the agreement is desirable. For · Undertaking a new type of contract may develop the business's knowledge and experience, which may be useful in obtaining subsequent business. · The contract may enhance the business's reputation (e.g. a contract for a high-profile customer). · A profitable contract may be declined if there is a high risk of reputational damage (e.g. if the agreement will harm the environment or involves activities that may be considered unethical).,重点: false})",[:包含],"(:知识点 {中文: 相关材料成本,考点: true,难点: true,回顾: false,标题: Relevant cost of materials,内容: One-off contracts usually require some materials, and we need to calculate the related cost of materials. · Where materials are required for a one-off contract, the following guidance, as summarised in the diagram that follows, can be used to determine the relevant cost: · If the materials required have not already been acquired, it will be necessary to buy them for the contract. The current market price is the relevant cost. · If the materials have already been acquired, it is necessary to consider whether they are used regularly in the business: · If used regularly, any materials consumed by the one-off contract will need to be replaced, so the replacement cost (the current market price) would be the relevant cost. · If used regularly, and replacements are not available, the relevant cost would be the opportunity cost, which would be the contribution foregone from regular production. · If not used regularly (e.g. they were acquired some time ago and there is no current use for them), the relevant cost is their opportunity cost. This is often their scrap value (i.e. disposal proceeds if the materials can be sold if not used in the contract). If there is no scrap value, the opportunity cost is $0. Or there could be an opportunity saving if the materials would otherwise have to be disposed of at a cost.,重点: true})"
"(:知识点 {中文: 相关材料成本,考点: true,难点: true,回顾: false,标题: Relevant cost of materials,内容: One-off contracts usually require some materials, and we need to calculate the related cost of materials. · Where materials are required for a one-off contract, the following guidance, as summarised in the diagram that follows, can be used to determine the relevant cost: · If the materials required have not already been acquired, it will be necessary to buy them for the contract. The current market price is the relevant cost. · If the materials have already been acquired, it is necessary to consider whether they are used regularly in the business: · If used regularly, any materials consumed by the one-off contract will need to be replaced, so the replacement cost (the current market price) would be the relevant cost. · If used regularly, and replacements are not available, the relevant cost would be the opportunity cost, which would be the contribution foregone from regular production. · If not used regularly (e.g. they were acquired some time ago and there is no current use for them), the relevant cost is their opportunity cost. This is often their scrap value (i.e. disposal proceeds if the materials can be sold if not used in the contract). If there is no scrap value, the opportunity cost is $0. Or there could be an opportunity saving if the materials would otherwise have to be disposed of at a cost.,重点: true})",[:属于],"(:知识点 {中文: 一次性合同,考点: false,难点: false,回顾: false,标题: One-off contract,内容: One-off contract refers to that when receiving a purchase order from a customer, the company needs to consider whether the order is profitable and whether the company should accept the order. · One decision-making scenario is to decide how much to tender for a one-off contract. To make the decision, it is necessary to consider all the relevant costs of the contract to ensure that the revenue from the contract covers them. The minimum price that makes a contract worthwhile is equal to the relevant cost. This section provides further guidance concerning materials, labour and non-current assets which may be required for such contracts. · From a financial point of view, a contract should proceed if the revenue from the contract exceeds its relevant cost. However, management should also consider non-financial factors before making a final decision. Some of the non-financial factors that may be considered are: · A contract may be undertaken even if the revenue is not sufficient to cover the relevant costs if there are other reasons why the agreement is desirable. For · Undertaking a new type of contract may develop the business's knowledge and experience, which may be useful in obtaining subsequent business. · The contract may enhance the business's reputation (e.g. a contract for a high-profile customer). · A profitable contract may be declined if there is a high risk of reputational damage (e.g. if the agreement will harm the environment or involves activities that may be considered unethical).,重点: false})"
"(:知识点 {中文: 一次性合同,考点: false,难点: false,回顾: false,标题: One-off contract,内容: One-off contract refers to that when receiving a purchase order from a customer, the company needs to consider whether the order is profitable and whether the company should accept the order. · One decision-making scenario is to decide how much to tender for a one-off contract. To make the decision, it is necessary to consider all the relevant costs of the contract to ensure that the revenue from the contract covers them. The minimum price that makes a contract worthwhile is equal to the relevant cost. This section provides further guidance concerning materials, labour and non-current assets which may be required for such contracts. · From a financial point of view, a contract should proceed if the revenue from the contract exceeds its relevant cost. However, management should also consider non-financial factors before making a final decision. Some of the non-financial factors that may be considered are: · A contract may be undertaken even if the revenue is not sufficient to cover the relevant costs if there are other reasons why the agreement is desirable. For · Undertaking a new type of contract may develop the business's knowledge and experience, which may be useful in obtaining subsequent business. · The contract may enhance the business's reputation (e.g. a contract for a high-profile customer). · A profitable contract may be declined if there is a high risk of reputational damage (e.g. if the agreement will harm the environment or involves activities that may be considered unethical).,重点: false})",[:包含],"(:知识点 {中文: 相关劳动成本,考点: true,难点: true,回顾: false,标题: Relevant cost of labour,内容: One-off contracts usually require some labour, and we need to calculate the related cost of labour. · The relevant cost of labour can be determined from the following situations: · If the organisation has spare (idle) labour time that can be used on the contract, the relevant cost is zero. This might arise, for example, where workers are being paid a fixed weekly wage and are currently underemployed. · If additional labour time is required and can be obtained without taking workers away from other activities, the direct cost of the labour is relevant. This may be paid at a higher rate if overtime is involved. · If there is a limit on the amount of labour available, a contract may require workers to be taken away from other profitable activities. In this case, the relevant cost of labour is the direct cost plus the lost contribution from the other activities.,重点: true})"
"(:知识点 {中文: 相关劳动成本,考点: true,难点: true,回顾: false,标题: Relevant cost of labour,内容: One-off contracts usually require some labour, and we need to calculate the related cost of labour. · The relevant cost of labour can be determined from the following situations: · If the organisation has spare (idle) labour time that can be used on the contract, the relevant cost is zero. This might arise, for example, where workers are being paid a fixed weekly wage and are currently underemployed. · If additional labour time is required and can be obtained without taking workers away from other activities, the direct cost of the labour is relevant. This may be paid at a higher rate if overtime is involved. · If there is a limit on the amount of labour available, a contract may require workers to be taken away from other profitable activities. In this case, the relevant cost of labour is the direct cost plus the lost contribution from the other activities.,重点: true})",[:属于],"(:知识点 {中文: 一次性合同,考点: false,难点: false,回顾: false,标题: One-off contract,内容: One-off contract refers to that when receiving a purchase order from a customer, the company needs to consider whether the order is profitable and whether the company should accept the order. · One decision-making scenario is to decide how much to tender for a one-off contract. To make the decision, it is necessary to consider all the relevant costs of the contract to ensure that the revenue from the contract covers them. The minimum price that makes a contract worthwhile is equal to the relevant cost. This section provides further guidance concerning materials, labour and non-current assets which may be required for such contracts. · From a financial point of view, a contract should proceed if the revenue from the contract exceeds its relevant cost. However, management should also consider non-financial factors before making a final decision. Some of the non-financial factors that may be considered are: · A contract may be undertaken even if the revenue is not sufficient to cover the relevant costs if there are other reasons why the agreement is desirable. For · Undertaking a new type of contract may develop the business's knowledge and experience, which may be useful in obtaining subsequent business. · The contract may enhance the business's reputation (e.g. a contract for a high-profile customer). · A profitable contract may be declined if there is a high risk of reputational damage (e.g. if the agreement will harm the environment or involves activities that may be considered unethical).,重点: false})"
"(:知识点 {中文: 一次性合同,考点: false,难点: false,回顾: false,标题: One-off contract,内容: One-off contract refers to that when receiving a purchase order from a customer, the company needs to consider whether the order is profitable and whether the company should accept the order. · One decision-making scenario is to decide how much to tender for a one-off contract. To make the decision, it is necessary to consider all the relevant costs of the contract to ensure that the revenue from the contract covers them. The minimum price that makes a contract worthwhile is equal to the relevant cost. This section provides further guidance concerning materials, labour and non-current assets which may be required for such contracts. · From a financial point of view, a contract should proceed if the revenue from the contract exceeds its relevant cost. However, management should also consider non-financial factors before making a final decision. Some of the non-financial factors that may be considered are: · A contract may be undertaken even if the revenue is not sufficient to cover the relevant costs if there are other reasons why the agreement is desirable. For · Undertaking a new type of contract may develop the business's knowledge and experience, which may be useful in obtaining subsequent business. · The contract may enhance the business's reputation (e.g. a contract for a high-profile customer). · A profitable contract may be declined if there is a high risk of reputational damage (e.g. if the agreement will harm the environment or involves activities that may be considered unethical).,重点: false})",[:包含],"(:知识点 {中文: 相关非流动资产成本,考点: true,难点: false,回顾: false,标题: Relevant cost of non-current asset,内容: Non-current assets, such as machinery, may be required for a contract, and we need to calculate the related cost of non-current assets. · The relevant cost of such assets depends on how the organisation plans to obtain the use of it: · If the asset is to be rented (or hired), the rental costs over the period of use are relevant. · If the asset is to be acquired (purchased) for the contract, the cost of acquiring the asset (including related costs, such as delivery and installation) would be relevant. It may be that when the contract is completed, the asset can be sold. In this case, the expected proceeds from the sale will be relevant income that should be deducted from the total cost of acquiring the asset when calculating the relevant cost. · An asset such as the one that is required may already be owned. The relevant cost then depends on whether that asset is already operating at full capacity on other activities. · If the asset is not used for other purposes (or has spare capacity), the relevant cost is the fall in realisable value that will arise if the asset is used for the contract. · If the asset is already operating at full capacity, its relevant cost is its deprival value.,重点: true})"
"(:知识点 {中文: 相关非流动资产成本,考点: true,难点: false,回顾: false,标题: Relevant cost of non-current asset,内容: Non-current assets, such as machinery, may be required for a contract, and we need to calculate the related cost of non-current assets. · The relevant cost of such assets depends on how the organisation plans to obtain the use of it: · If the asset is to be rented (or hired), the rental costs over the period of use are relevant. · If the asset is to be acquired (purchased) for the contract, the cost of acquiring the asset (including related costs, such as delivery and installation) would be relevant. It may be that when the contract is completed, the asset can be sold. In this case, the expected proceeds from the sale will be relevant income that should be deducted from the total cost of acquiring the asset when calculating the relevant cost. · An asset such as the one that is required may already be owned. The relevant cost then depends on whether that asset is already operating at full capacity on other activities. · If the asset is not used for other purposes (or has spare capacity), the relevant cost is the fall in realisable value that will arise if the asset is used for the contract. · If the asset is already operating at full capacity, its relevant cost is its deprival value.,重点: true})",[:属于],"(:知识点 {中文: 一次性合同,考点: false,难点: false,回顾: false,标题: One-off contract,内容: One-off contract refers to that when receiving a purchase order from a customer, the company needs to consider whether the order is profitable and whether the company should accept the order. · One decision-making scenario is to decide how much to tender for a one-off contract. To make the decision, it is necessary to consider all the relevant costs of the contract to ensure that the revenue from the contract covers them. The minimum price that makes a contract worthwhile is equal to the relevant cost. This section provides further guidance concerning materials, labour and non-current assets which may be required for such contracts. · From a financial point of view, a contract should proceed if the revenue from the contract exceeds its relevant cost. However, management should also consider non-financial factors before making a final decision. Some of the non-financial factors that may be considered are: · A contract may be undertaken even if the revenue is not sufficient to cover the relevant costs if there are other reasons why the agreement is desirable. For · Undertaking a new type of contract may develop the business's knowledge and experience, which may be useful in obtaining subsequent business. · The contract may enhance the business's reputation (e.g. a contract for a high-profile customer). · A profitable contract may be declined if there is a high risk of reputational damage (e.g. if the agreement will harm the environment or involves activities that may be considered unethical).,重点: false})"
"(:知识点 {中文: 相关材料成本,考点: true,难点: true,回顾: false,标题: Relevant cost of materials,内容: One-off contracts usually require some materials, and we need to calculate the related cost of materials. · Where materials are required for a one-off contract, the following guidance, as summarised in the diagram that follows, can be used to determine the relevant cost: · If the materials required have not already been acquired, it will be necessary to buy them for the contract. The current market price is the relevant cost. · If the materials have already been acquired, it is necessary to consider whether they are used regularly in the business: · If used regularly, any materials consumed by the one-off contract will need to be replaced, so the replacement cost (the current market price) would be the relevant cost. · If used regularly, and replacements are not available, the relevant cost would be the opportunity cost, which would be the contribution foregone from regular production. · If not used regularly (e.g. they were acquired some time ago and there is no current use for them), the relevant cost is their opportunity cost. This is often their scrap value (i.e. disposal proceeds if the materials can be sold if not used in the contract). If there is no scrap value, the opportunity cost is $0. Or there could be an opportunity saving if the materials would otherwise have to be disposed of at a cost.,重点: true})",[:相关],"(:知识点 {中文: 相关劳动成本,考点: true,难点: true,回顾: false,标题: Relevant cost of labour,内容: One-off contracts usually require some labour, and we need to calculate the related cost of labour. · The relevant cost of labour can be determined from the following situations: · If the organisation has spare (idle) labour time that can be used on the contract, the relevant cost is zero. This might arise, for example, where workers are being paid a fixed weekly wage and are currently underemployed. · If additional labour time is required and can be obtained without taking workers away from other activities, the direct cost of the labour is relevant. This may be paid at a higher rate if overtime is involved. · If there is a limit on the amount of labour available, a contract may require workers to be taken away from other profitable activities. In this case, the relevant cost of labour is the direct cost plus the lost contribution from the other activities.,重点: true})"
"(:知识点 {中文: 相关劳动成本,考点: true,难点: true,回顾: false,标题: Relevant cost of labour,内容: One-off contracts usually require some labour, and we need to calculate the related cost of labour. · The relevant cost of labour can be determined from the following situations: · If the organisation has spare (idle) labour time that can be used on the contract, the relevant cost is zero. This might arise, for example, where workers are being paid a fixed weekly wage and are currently underemployed. · If additional labour time is required and can be obtained without taking workers away from other activities, the direct cost of the labour is relevant. This may be paid at a higher rate if overtime is involved. · If there is a limit on the amount of labour available, a contract may require workers to be taken away from other profitable activities. In this case, the relevant cost of labour is the direct cost plus the lost contribution from the other activities.,重点: true})",[:相关],"(:知识点 {中文: 相关材料成本,考点: true,难点: true,回顾: false,标题: Relevant cost of materials,内容: One-off contracts usually require some materials, and we need to calculate the related cost of materials. · Where materials are required for a one-off contract, the following guidance, as summarised in the diagram that follows, can be used to determine the relevant cost: · If the materials required have not already been acquired, it will be necessary to buy them for the contract. The current market price is the relevant cost. · If the materials have already been acquired, it is necessary to consider whether they are used regularly in the business: · If used regularly, any materials consumed by the one-off contract will need to be replaced, so the replacement cost (the current market price) would be the relevant cost. · If used regularly, and replacements are not available, the relevant cost would be the opportunity cost, which would be the contribution foregone from regular production. · If not used regularly (e.g. they were acquired some time ago and there is no current use for them), the relevant cost is their opportunity cost. This is often their scrap value (i.e. disposal proceeds if the materials can be sold if not used in the contract). If there is no scrap value, the opportunity cost is $0. Or there could be an opportunity saving if the materials would otherwise have to be disposed of at a cost.,重点: true})"
"(:知识点 {中文: 相关材料成本,考点: true,难点: true,回顾: false,标题: Relevant cost of materials,内容: One-off contracts usually require some materials, and we need to calculate the related cost of materials. · Where materials are required for a one-off contract, the following guidance, as summarised in the diagram that follows, can be used to determine the relevant cost: · If the materials required have not already been acquired, it will be necessary to buy them for the contract. The current market price is the relevant cost. · If the materials have already been acquired, it is necessary to consider whether they are used regularly in the business: · If used regularly, any materials consumed by the one-off contract will need to be replaced, so the replacement cost (the current market price) would be the relevant cost. · If used regularly, and replacements are not available, the relevant cost would be the opportunity cost, which would be the contribution foregone from regular production. · If not used regularly (e.g. they were acquired some time ago and there is no current use for them), the relevant cost is their opportunity cost. This is often their scrap value (i.e. disposal proceeds if the materials can be sold if not used in the contract). If there is no scrap value, the opportunity cost is $0. Or there could be an opportunity saving if the materials would otherwise have to be disposed of at a cost.,重点: true})",[:相关],"(:知识点 {中文: 相关非流动资产成本,考点: true,难点: false,回顾: false,标题: Relevant cost of non-current asset,内容: Non-current assets, such as machinery, may be required for a contract, and we need to calculate the related cost of non-current assets. · The relevant cost of such assets depends on how the organisation plans to obtain the use of it: · If the asset is to be rented (or hired), the rental costs over the period of use are relevant. · If the asset is to be acquired (purchased) for the contract, the cost of acquiring the asset (including related costs, such as delivery and installation) would be relevant. It may be that when the contract is completed, the asset can be sold. In this case, the expected proceeds from the sale will be relevant income that should be deducted from the total cost of acquiring the asset when calculating the relevant cost. · An asset such as the one that is required may already be owned. The relevant cost then depends on whether that asset is already operating at full capacity on other activities. · If the asset is not used for other purposes (or has spare capacity), the relevant cost is the fall in realisable value that will arise if the asset is used for the contract. · If the asset is already operating at full capacity, its relevant cost is its deprival value.,重点: true})"
"(:知识点 {中文: 相关非流动资产成本,考点: true,难点: false,回顾: false,标题: Relevant cost of non-current asset,内容: Non-current assets, such as machinery, may be required for a contract, and we need to calculate the related cost of non-current assets. · The relevant cost of such assets depends on how the organisation plans to obtain the use of it: · If the asset is to be rented (or hired), the rental costs over the period of use are relevant. · If the asset is to be acquired (purchased) for the contract, the cost of acquiring the asset (including related costs, such as delivery and installation) would be relevant. It may be that when the contract is completed, the asset can be sold. In this case, the expected proceeds from the sale will be relevant income that should be deducted from the total cost of acquiring the asset when calculating the relevant cost. · An asset such as the one that is required may already be owned. The relevant cost then depends on whether that asset is already operating at full capacity on other activities. · If the asset is not used for other purposes (or has spare capacity), the relevant cost is the fall in realisable value that will arise if the asset is used for the contract. · If the asset is already operating at full capacity, its relevant cost is its deprival value.,重点: true})",[:相关],"(:知识点 {中文: 相关材料成本,考点: true,难点: true,回顾: false,标题: Relevant cost of materials,内容: One-off contracts usually require some materials, and we need to calculate the related cost of materials. · Where materials are required for a one-off contract, the following guidance, as summarised in the diagram that follows, can be used to determine the relevant cost: · If the materials required have not already been acquired, it will be necessary to buy them for the contract. The current market price is the relevant cost. · If the materials have already been acquired, it is necessary to consider whether they are used regularly in the business: · If used regularly, any materials consumed by the one-off contract will need to be replaced, so the replacement cost (the current market price) would be the relevant cost. · If used regularly, and replacements are not available, the relevant cost would be the opportunity cost, which would be the contribution foregone from regular production. · If not used regularly (e.g. they were acquired some time ago and there is no current use for them), the relevant cost is their opportunity cost. This is often their scrap value (i.e. disposal proceeds if the materials can be sold if not used in the contract). If there is no scrap value, the opportunity cost is $0. Or there could be an opportunity saving if the materials would otherwise have to be disposed of at a cost.,重点: true})"
"(:知识点 {中文: 相关劳动成本,考点: true,难点: true,回顾: false,标题: Relevant cost of labour,内容: One-off contracts usually require some labour, and we need to calculate the related cost of labour. · The relevant cost of labour can be determined from the following situations: · If the organisation has spare (idle) labour time that can be used on the contract, the relevant cost is zero. This might arise, for example, where workers are being paid a fixed weekly wage and are currently underemployed. · If additional labour time is required and can be obtained without taking workers away from other activities, the direct cost of the labour is relevant. This may be paid at a higher rate if overtime is involved. · If there is a limit on the amount of labour available, a contract may require workers to be taken away from other profitable activities. In this case, the relevant cost of labour is the direct cost plus the lost contribution from the other activities.,重点: true})",[:相关],"(:知识点 {中文: 相关非流动资产成本,考点: true,难点: false,回顾: false,标题: Relevant cost of non-current asset,内容: Non-current assets, such as machinery, may be required for a contract, and we need to calculate the related cost of non-current assets. · The relevant cost of such assets depends on how the organisation plans to obtain the use of it: · If the asset is to be rented (or hired), the rental costs over the period of use are relevant. · If the asset is to be acquired (purchased) for the contract, the cost of acquiring the asset (including related costs, such as delivery and installation) would be relevant. It may be that when the contract is completed, the asset can be sold. In this case, the expected proceeds from the sale will be relevant income that should be deducted from the total cost of acquiring the asset when calculating the relevant cost. · An asset such as the one that is required may already be owned. The relevant cost then depends on whether that asset is already operating at full capacity on other activities. · If the asset is not used for other purposes (or has spare capacity), the relevant cost is the fall in realisable value that will arise if the asset is used for the contract. · If the asset is already operating at full capacity, its relevant cost is its deprival value.,重点: true})"
"(:知识点 {中文: 相关非流动资产成本,考点: true,难点: false,回顾: false,标题: Relevant cost of non-current asset,内容: Non-current assets, such as machinery, may be required for a contract, and we need to calculate the related cost of non-current assets. · The relevant cost of such assets depends on how the organisation plans to obtain the use of it: · If the asset is to be rented (or hired), the rental costs over the period of use are relevant. · If the asset is to be acquired (purchased) for the contract, the cost of acquiring the asset (including related costs, such as delivery and installation) would be relevant. It may be that when the contract is completed, the asset can be sold. In this case, the expected proceeds from the sale will be relevant income that should be deducted from the total cost of acquiring the asset when calculating the relevant cost. · An asset such as the one that is required may already be owned. The relevant cost then depends on whether that asset is already operating at full capacity on other activities. · If the asset is not used for other purposes (or has spare capacity), the relevant cost is the fall in realisable value that will arise if the asset is used for the contract. · If the asset is already operating at full capacity, its relevant cost is its deprival value.,重点: true})",[:相关],"(:知识点 {中文: 相关劳动成本,考点: true,难点: true,回顾: false,标题: Relevant cost of labour,内容: One-off contracts usually require some labour, and we need to calculate the related cost of labour. · The relevant cost of labour can be determined from the following situations: · If the organisation has spare (idle) labour time that can be used on the contract, the relevant cost is zero. This might arise, for example, where workers are being paid a fixed weekly wage and are currently underemployed. · If additional labour time is required and can be obtained without taking workers away from other activities, the direct cost of the labour is relevant. This may be paid at a higher rate if overtime is involved. · If there is a limit on the amount of labour available, a contract may require workers to be taken away from other profitable activities. In this case, the relevant cost of labour is the direct cost plus the lost contribution from the other activities.,重点: true})"
"(:知识点 {中文: 识别限制因素,考点: false,难点: false,回顾: false,标题: Identify the limiting factor,重点: false,内容: Identify which resource is the limiting factor of the company. To find this, calculate how many units of each resource are required to produce sufficient quantities of each product to meet maximum demand. A resource is a limiting factor if it has insufficient availability to meet maximum demand.})",[:相关],"(:知识点 {中文: 单一限制因素下的生产计划,考点: false,难点: false,回顾: false,标题: Production planning under one limiting factor,内容: the approach is used to decide which product(s) to make to maximise contribution and, therefore, profit where one of the factors of production is limited. We need to identify the optimal production plan through five steps: 1. Identify the limiting factor. To find this, calculate how many units of each resource are required to produce sufficient quantities of each product to meet maximum demand. A resource is a limiting factor if it has insufficient availability to meet maximum demand. 2. Calculate the contribution per unit of each product. 3. Calculate contribution per unit of limiting factor for each product: 4. Rank the products according to the contribution per unit of limiting factor, with products with the largest contribution per limiting factor ranked first; and 5. Concentrate production on those products with the highest contribution per unit of limiting factor – until all the scarce resource is used up, or maximum demand is fulfilled, whichever is first.,重点: false})"
"(:知识点 {中文: 单一限制因素下的生产计划,考点: false,难点: false,回顾: false,标题: Production planning under one limiting factor,内容: the approach is used to decide which product(s) to make to maximise contribution and, therefore, profit where one of the factors of production is limited. We need to identify the optimal production plan through five steps: 1. Identify the limiting factor. To find this, calculate how many units of each resource are required to produce sufficient quantities of each product to meet maximum demand. A resource is a limiting factor if it has insufficient availability to meet maximum demand. 2. Calculate the contribution per unit of each product. 3. Calculate contribution per unit of limiting factor for each product: 4. Rank the products according to the contribution per unit of limiting factor, with products with the largest contribution per limiting factor ranked first; and 5. Concentrate production on those products with the highest contribution per unit of limiting factor – until all the scarce resource is used up, or maximum demand is fulfilled, whichever is first.,重点: false})",[:相关],"(:知识点 {中文: 识别限制因素,考点: false,难点: false,回顾: false,标题: Identify the limiting factor,重点: false,内容: Identify which resource is the limiting factor of the company. To find this, calculate how many units of each resource are required to produce sufficient quantities of each product to meet maximum demand. A resource is a limiting factor if it has insufficient availability to meet maximum demand.})"
"(:知识点 {中文: 识别限制因素,考点: false,难点: false,回顾: false,标题: Identify the limiting factor,重点: false,内容: Identify which resource is the limiting factor of the company. To find this, calculate how many units of each resource are required to produce sufficient quantities of each product to meet maximum demand. A resource is a limiting factor if it has insufficient availability to meet maximum demand.})",[:相关],"(:知识点 {中文: 单一限制因素下的制造或采购决策,考点: false,难点: false,回顾: false,标题: Make or buy decision under one limiting factor,内容: To identify which products to make in house with scare resources firstly, and then others external procurement. short term decision introduced outsourcing and \""make v buy\"" decisions that consider producing or buying all of a particular product or component. This section deals with situations in which only some production will be outsourced due to a limiting factor that prevents the business from producing all that is needed. The limiting factor could be a scarce material, a particular type of skilled labour or any other resource. The following assumptions apply: ·The business makes several products that use the limiting factor. ·The cost of making items in-house is less than that of outsourcing. ·Due to the limiting factor, it is not possible to produce the required quantities of all products. Some production needs to be outsourced. Assuming that the company can decide which components to make in-house and which to outsource, it should: ·Make those components or products where the biggest savings can be made; and ·Outsource the remainder. Method: To decide which products should be made and which should be bought, calculate the saving per unit of scarce resource from making the product rather than from buying it: Saving per unit of scarce resource = buy-in price - variable cost to make/number of units of sacre resource used per unit The fraction with numerator Buy minus in price minus Variable cost to make and denominator Number of units of scarce resource used per unit The products with the greatest saving per unit of scarce resource should be given the highest priority for manufacture.,重点: false})"
"(:知识点 {中文: 单一限制因素下的制造或采购决策,考点: false,难点: false,回顾: false,标题: Make or buy decision under one limiting factor,内容: To identify which products to make in house with scare resources firstly, and then others external procurement. short term decision introduced outsourcing and \""make v buy\"" decisions that consider producing or buying all of a particular product or component. This section deals with situations in which only some production will be outsourced due to a limiting factor that prevents the business from producing all that is needed. The limiting factor could be a scarce material, a particular type of skilled labour or any other resource. The following assumptions apply: ·The business makes several products that use the limiting factor. ·The cost of making items in-house is less than that of outsourcing. ·Due to the limiting factor, it is not possible to produce the required quantities of all products. Some production needs to be outsourced. Assuming that the company can decide which components to make in-house and which to outsource, it should: ·Make those components or products where the biggest savings can be made; and ·Outsource the remainder. Method: To decide which products should be made and which should be bought, calculate the saving per unit of scarce resource from making the product rather than from buying it: Saving per unit of scarce resource = buy-in price - variable cost to make/number of units of sacre resource used per unit The fraction with numerator Buy minus in price minus Variable cost to make and denominator Number of units of scarce resource used per unit The products with the greatest saving per unit of scarce resource should be given the highest priority for manufacture.,重点: false})",[:相关],"(:知识点 {中文: 识别限制因素,考点: false,难点: false,回顾: false,标题: Identify the limiting factor,重点: false,内容: Identify which resource is the limiting factor of the company. To find this, calculate how many units of each resource are required to produce sufficient quantities of each product to meet maximum demand. A resource is a limiting factor if it has insufficient availability to meet maximum demand.})"
